index,x,y,z,roll,pitch,yaw
148,-5.86845,3.74777,-1.26192,0.32862, 0.624782, -0.614603, -0.352022
149,-5.89881,3.72729,-1.30269,0.328633, 0.624794, -0.61457, -0.352048
150,-5.92938,3.70668,-1.34373,0.328641, 0.624805, -0.614535, -0.352079
151,-5.96015,3.68594,-1.38504,0.32864, 0.624827, -0.614495, -0.352112
152,-5.99113,3.66505,-1.42663,0.32864, 0.624845, -0.614466, -0.35213
153,-6.02232,3.64402,-1.46849,0.328641, 0.624868, -0.614424, -0.352162
154,-6.05371,3.62286,-1.51063,0.328625, 0.624895, -0.61439, -0.352187
155,-6.0853,3.60156,-1.55304,0.328609, 0.624925, -0.614356, -0.35221
156,-6.1171,3.58012,-1.59573,0.328595, 0.62495, -0.614324, -0.352234
157,-6.1491,3.55854,-1.6387,0.328588, 0.624979, -0.614288, -0.352253
158,-6.18131,3.53682,-1.68193,0.328586, 0.625004, -0.614258, -0.352262
159,-6.21372,3.51497,-1.72545,0.328586, 0.625022, -0.614239, -0.352262
160,-6.24634,3.49297,-1.76924,0.328589, 0.625038, -0.614215, -0.352273
161,-6.27916,3.47084,-1.8133,0.32858, 0.625054, -0.614194, -0.35229
162,-6.31218,3.44857,-1.85763,0.328587, 0.62505, -0.614183, -0.35231
163,-6.34541,3.42617,-1.90225,0.328601, 0.625041, -0.614175, -0.352327
164,-6.37885,3.40362,-1.94713,0.328622, 0.625036, -0.614167, -0.352329
165,-6.41249,3.38094,-1.99229,0.328644, 0.625023, -0.614163, -0.352339
166,-6.44634,3.35812,-2.03772,0.328652, 0.625018, -0.614157, -0.352351
167,-6.48039,3.33516,-2.08343,0.328667, 0.625003, -0.614156, -0.352366
168,-6.51464,3.31207,-2.12941,0.32868, 0.624989, -0.614161, -0.35237
169,-6.5491,3.28884,-2.17566,0.328697, 0.624982, -0.614159, -0.352371
170,-6.58376,3.26547,-2.22219,0.328705, 0.624964, -0.614164, -0.352385
171,-6.61862,3.24196,-2.26899,0.328712, 0.624939, -0.61418, -0.352394
172,-6.65369,3.21831,-2.31607,0.328731, 0.624917, -0.614195, -0.35239
173,-6.68897,3.19453,-2.36342,0.328761, 0.624893, -0.614214, -0.352372
174,-6.72445,3.1706,-2.41105,0.328774, 0.624867, -0.614239, -0.352361
175,-6.76014,3.14654,-2.45895,0.328792, 0.62483, -0.614272, -0.352354
176,-6.79603,3.12234,-2.50712,0.328792, 0.624801, -0.614304, -0.352348
177,-6.83212,3.098,-2.55557,0.328806, 0.624764, -0.614337, -0.352345
178,-6.86842,3.07352,-2.6043,0.328799, 0.62472, -0.614383, -0.35235
179,-6.90493,3.04891,-2.65329,0.328801, 0.624677, -0.61443, -0.352342
180,-6.94164,3.02415,-2.70257,0.328821, 0.624618, -0.614483, -0.352335
181,-6.97855,2.99926,-2.75211,0.328844, 0.624563, -0.614533, -0.352324
182,-7.01567,2.97423,-2.80194,0.328854, 0.624515, -0.614582, -0.352314
183,-7.053,2.94907,-2.85204,0.328888, 0.624461, -0.614637, -0.352282
184,-7.09053,2.92376,-2.90241,0.328921, 0.624405, -0.614686, -0.352263
185,-7.12827,2.89832,-2.95307,0.328946, 0.62437, -0.614727, -0.352232
186,-7.1662,2.87274,-3.004,0.32898, 0.624329, -0.614769, -0.352199
187,-7.20434,2.84702,-3.05521,0.329011, 0.624303, -0.614804, -0.352156
188,-7.24269,2.82117,-3.1067,0.329054, 0.624286, -0.61483, -0.3521
189,-7.28124,2.79518,-3.15847,0.32909, 0.624267, -0.614862, -0.352044
190,-7.31999,2.76905,-3.21052,0.32912, 0.624249, -0.614889, -0.352001
191,-7.35895,2.74278,-3.26286,0.329143, 0.624257, -0.614905, -0.351938
192,-7.39811,2.71638,-3.31547,0.329177, 0.624263, -0.61492, -0.351869
193,-7.43747,2.68985,-3.36836,0.329206, 0.624272, -0.614933, -0.351804
194,-7.47704,2.66318,-3.42153,0.329229, 0.624286, -0.614948, -0.35173
195,-7.51681,2.63637,-3.47498,0.329267, 0.624295, -0.614953, -0.351671
196,-7.55679,2.60943,-3.52871,0.329295, 0.62431, -0.61495, -0.351623
197,-7.59697,2.58235,-3.58271,0.329326, 0.624317, -0.614947, -0.351586
198,-7.63735,2.55514,-3.637,0.329373, 0.624315, -0.614944, -0.35155
199,-7.67795,2.5278,-3.69155,0.329418, 0.624321, -0.614929, -0.351525
200,-7.71875,2.50031,-3.74639,0.329457, 0.624323, -0.614905, -0.351526
201,-7.75975,2.4727,-3.8015,0.329488, 0.624318, -0.614891, -0.35153
202,-7.80096,2.44495,-3.85689,0.329524, 0.624317, -0.614872, -0.351533
203,-7.84238,2.41706,-3.91256,0.329557, 0.624311, -0.614859, -0.351533
204,-7.884,2.38904,-3.9685,0.329593, 0.624308, -0.614847, -0.351528
205,-7.92583,2.36088,-4.02471,0.329609, 0.62431, -0.614833, -0.351533
206,-7.96786,2.33258,-4.0812,0.329637, 0.624322, -0.614809, -0.351527
207,-8.01009,2.30415,-4.13797,0.32966, 0.624338, -0.614788, -0.351514
208,-8.05253,2.27558,-4.19501,0.329704, 0.624344, -0.614765, -0.351501
209,-8.09518,2.24688,-4.25234,0.329731, 0.624353, -0.614746, -0.351493
210,-8.13803,2.21804,-4.30993,0.329778, 0.624369, -0.614716, -0.351474
211,-8.18108,2.18906,-4.36781,0.329808, 0.624389, -0.614688, -0.351459
212,-8.22434,2.15995,-4.42596,0.329834, 0.624412, -0.614653, -0.351455
213,-8.2678,2.1307,-4.48439,0.329878, 0.624446, -0.61461, -0.351429
214,-8.31147,2.10131,-4.54309,0.329916, 0.624475, -0.614569, -0.351414
215,-8.35534,2.07179,-4.60208,0.329964, 0.624508, -0.614521, -0.351394
216,-8.39941,2.04213,-4.66134,0.330021, 0.624538, -0.614473, -0.351372
217,-8.44369,2.01233,-4.72088,0.330061, 0.624581, -0.614423, -0.351344
218,-8.48817,1.9824,-4.7807,0.330119, 0.624629, -0.614363, -0.351309
219,-8.53286,1.95233,-4.84079,0.330169, 0.624679, -0.614311, -0.351264
220,-8.57775,1.92212,-4.90117,0.330228, 0.624727, -0.614254, -0.351223
221,-8.62284,1.89177,-4.96182,0.330289, 0.624779, -0.614192, -0.351183
222,-8.66814,1.86129,-5.02275,0.330344, 0.624843, -0.614121, -0.35114
223,-8.71365,1.83067,-5.08395,0.330416, 0.624889, -0.614062, -0.351094
224,-8.75935,1.79992,-5.14543,0.330469, 0.624933, -0.614014, -0.35105
225,-8.80527,1.76902,-5.20719,0.330532, 0.624983, -0.613954, -0.351006
226,-8.85138,1.73799,-5.26922,0.330597, 0.625025, -0.613901, -0.350963
227,-8.8977,1.70682,-5.33153,0.330646, 0.625059, -0.613856, -0.350934
228,-8.94423,1.67552,-5.39412,0.33069, 0.625093, -0.613809, -0.350914
229,-8.99097,1.64407,-5.45697,0.330728, 0.625126, -0.613766, -0.350894
230,-9.03791,1.61249,-5.52011,0.330774, 0.625155, -0.613721, -0.350878
231,-9.08505,1.58077,-5.58351,0.330814, 0.625181, -0.61368, -0.350868
232,-9.1324,1.54891,-5.64719,0.330842, 0.625214, -0.613636, -0.350859
233,-9.17996,1.51692,-5.71115,0.330881, 0.625237, -0.613598, -0.350847
234,-9.22772,1.48479,-5.77538,0.330928, 0.625258, -0.613569, -0.350817
235,-9.27569,1.45252,-5.83989,0.330975, 0.62528, -0.613537, -0.350788
236,-9.32386,1.42011,-5.90467,0.331007, 0.625304, -0.613505, -0.35077
237,-9.37223,1.38757,-5.96973,0.331038, 0.625333, -0.613476, -0.350741
238,-9.42081,1.35488,-6.03506,0.331055, 0.625365, -0.61345, -0.350714
239,-9.46959,1.32206,-6.10067,0.331091, 0.625389, -0.613423, -0.350684
240,-9.51858,1.28911,-6.16656,0.331139, 0.6254, -0.613406, -0.350649
241,-9.56777,1.25601,-6.23272,0.331214, 0.625393, -0.613398, -0.350605
242,-9.61717,1.22278,-6.29915,0.331322, 0.625359, -0.613405, -0.350551
243,-9.66677,1.18942,-6.36586,0.331469, 0.625308, -0.613417, -0.350482
244,-9.71658,1.15591,-6.43284,0.331662, 0.625228, -0.613445, -0.350393
245,-9.76659,1.12227,-6.5001,0.331875, 0.625132, -0.613485, -0.350294
246,-9.81682,1.08849,-6.56763,0.33211, 0.625021, -0.613523, -0.350202
247,-9.86724,1.05458,-6.63544,0.332339, 0.624907, -0.613566, -0.350112
248,-9.91788,1.02052,-6.70352,0.332557, 0.624787, -0.61361, -0.350041
249,-9.96872,0.986331,-6.77188,0.332742, 0.624685, -0.613639, -0.349997
250,-10.0198,0.952,-6.84051,0.332846, 0.62461, -0.613662, -0.349991
251,-10.071,0.917533,-6.90942,0.332884, 0.624552, -0.613683, -0.350023
252,-10.1225,0.882927,-6.9786,0.332863, 0.624548, -0.613682, -0.350052
253,-10.1741,0.848182,-7.04806,0.332765, 0.624584, -0.613659, -0.350121
254,-10.226,0.813299,-7.11781,0.332621, 0.624645, -0.613634, -0.350194
255,-10.278,0.778278,-7.18783,0.332444, 0.624733, -0.61359, -0.350282
256,-10.3303,0.74312,-7.25813,0.332258, 0.624827, -0.613542, -0.350375
257,-10.3827,0.707825,-7.32871,0.332068, 0.624926, -0.613488, -0.350473
258,-10.4354,0.672394,-7.39957,0.331897, 0.625027, -0.613428, -0.35056
259,-10.4883,0.636827,-7.47072,0.331747, 0.625119, -0.613361, -0.350653
260,-10.5413,0.601125,-7.54214,0.331625, 0.62521, -0.613292, -0.350727
261,-10.5946,0.565287,-7.61383,0.331535, 0.625286, -0.613224, -0.350796
262,-10.6481,0.529313,-7.68581,0.331496, 0.625355, -0.613158, -0.350826
263,-10.7018,0.493203,-7.75807,0.331469, 0.625421, -0.613095, -0.350844
264,-10.7557,0.456957,-7.8306,0.331478, 0.625483, -0.613029, -0.350841
265,-10.8098,0.420575,-7.90342,0.331522, 0.625541, -0.612962, -0.350812
266,-10.8641,0.384058,-7.97651,0.331583, 0.625602, -0.612886, -0.350779
267,-10.9186,0.347407,-8.04988,0.331672, 0.625655, -0.612812, -0.35073
268,-10.9733,0.31062,-8.12354,0.331788, 0.625705, -0.612732, -0.35067
269,-11.0282,0.273699,-8.19747,0.33193, 0.625742, -0.612646, -0.350619
270,-11.0834,0.236644,-8.27168,0.332129, 0.625754, -0.612569, -0.350546
271,-11.1387,0.199454,-8.34617,0.332336, 0.625773, -0.61247, -0.350486
272,-11.1942,0.162129,-8.42093,0.332538, 0.625791, -0.612381, -0.350419
273,-11.25,0.124669,-8.49598,0.332754, 0.625785, -0.612309, -0.350352
274,-11.3059,0.0870728,-8.57129,0.332982, 0.625768, -0.612249, -0.350269
275,-11.3621,0.0493381,-8.64688,0.333216, 0.625755, -0.612189, -0.350175
276,-11.4184,0.0114652,-8.72275,0.333456, 0.625714, -0.612146, -0.350094
277,-11.475,-0.0265457,-8.79889,0.333688, 0.625672, -0.612117, -0.35
278,-11.5317,-0.0646957,-8.8753,0.333902, 0.625622, -0.612099, -0.349917
279,-11.5887,-0.102986,-8.95198,0.334112, 0.625565, -0.61209, -0.349833
280,-11.6459,-0.141416,-9.02893,0.334297, 0.625515, -0.612081, -0.349762
281,-11.7033,-0.179987,-9.10616,0.334463, 0.625467, -0.612072, -0.349706
282,-11.7608,-0.218696,-9.18366,0.33462, 0.625416, -0.61207, -0.349649
283,-11.8186,-0.257546,-9.26143,0.334737, 0.625389, -0.612059, -0.349605
284,-11.8766,-0.296535,-9.33948,0.33485, 0.625367, -0.612044, -0.349563
285,-11.9348,-0.335662,-9.4178,0.334952, 0.625343, -0.612034, -0.349526
286,-11.9932,-0.374927,-9.4964,0.335013, 0.625343, -0.612008, -0.349511
287,-12.0518,-0.414331,-9.57527,0.335068, 0.62534, -0.611988, -0.349499
288,-12.1106,-0.453875,-9.65443,0.335087, 0.625358, -0.611964, -0.349492
289,-12.1696,-0.493557,-9.73386,0.335088, 0.625389, -0.611937, -0.349481
290,-12.2288,-0.533379,-9.81356,0.33508, 0.625428, -0.611905, -0.349477
291,-12.2882,-0.573341,-9.89354,0.335074, 0.625456, -0.611868, -0.349496
292,-12.3479,-0.613442,-9.9738,0.335076, 0.625491, -0.611833, -0.349493
293,-12.4077,-0.653682,-10.0543,0.33508, 0.625515, -0.611806, -0.349494
294,-12.4677,-0.694062,-10.1351,0.335092, 0.62555, -0.611763, -0.349495
295,-12.528,-0.734579,-10.2162,0.335102, 0.625589, -0.61172, -0.349491
296,-12.5884,-0.775235,-10.2976,0.335111, 0.625623, -0.611688, -0.349478
297,-12.649,-0.816029,-10.3792,0.33512, 0.625662, -0.611654, -0.349458
298,-12.7099,-0.856962,-10.4611,0.335122, 0.625697, -0.61163, -0.349436
299,-12.7709,-0.898035,-10.5433,0.335131, 0.625725, -0.611613, -0.349405
300,-12.8322,-0.939247,-10.6258,0.335132, 0.625756, -0.611599, -0.349375
301,-12.8936,-0.980598,-10.7085,0.335138, 0.625775, -0.611592, -0.349345
302,-12.9553,-1.02209,-10.7915,0.335153, 0.625781, -0.6116, -0.349308
303,-13.0172,-1.06372,-10.8748,0.335158, 0.625782, -0.61161, -0.349284
304,-13.0792,-1.10548,-10.9584,0.335181, 0.625788, -0.611614, -0.349243
305,-13.1415,-1.14739,-11.0422,0.335193, 0.625794, -0.611616, -0.349217
306,-13.204,-1.18943,-11.1263,0.335215, 0.6258, -0.611616, -0.349186
307,-13.2667,-1.23161,-11.2107,0.335237, 0.625805, -0.611608, -0.34917
308,-13.3296,-1.27392,-11.2954,0.335266, 0.625812, -0.611603, -0.349138
309,-13.3927,-1.31637,-11.3803,0.33529, 0.625823, -0.611598, -0.349104
310,-13.4559,-1.35896,-11.4656,0.33532, 0.625842, -0.611583, -0.349066
311,-13.5194,-1.40169,-11.5511,0.33535, 0.625865, -0.611574, -0.349014
312,-13.5831,-1.44455,-11.6368,0.335395, 0.625888, -0.611557, -0.34896
313,-13.647,-1.48755,-11.7229,0.335441, 0.625913, -0.611545, -0.348891
314,-13.7111,-1.53068,-11.8092,0.335484, 0.625946, -0.611524, -0.348827
315,-13.7754,-1.57396,-11.8959,0.335525, 0.625973, -0.611507, -0.348769
316,-13.84,-1.61736,-11.9828,0.335577, 0.625996, -0.611487, -0.348712
317,-13.9047,-1.66091,-12.0699,0.335622, 0.626006, -0.611476, -0.348671
318,-13.9696,-1.70459,-12.1574,0.335675, 0.626013, -0.611462, -0.348631
319,-14.0347,-1.74841,-12.2451,0.335732, 0.626013, -0.611451, -0.348596
